Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2015-01-27,1 ATR stop,167.54,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
1,Entry long,2015-01-23,CB V2,169.99,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
2,Exit long,2015-02-17,2R target,173.51,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
2,Entry long,2015-02-04,CB V2,168.45,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
3,Exit long,2015-03-04,1 ATR stop,173.15,579,101145.51,-911.8,-0.90,20.14,262.02,0.26,-901.77,-0.89,555.26,0.56,1
3,Entry long,2015-03-03,CB V2,174.69,579,101145.51,-911.8,-0.90,20.14,262.02,0.26,-901.77,-0.89,555.26,0.56,1
4,Exit short,2015-03-09,Margin call,171.61,1,171.59,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,545.16,0.55,0
4,Entry short,2015-03-09,CB V2,171.59,1,171.59,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,545.16,0.55,0
5,Exit short,2015-03-09,Margin call,172.47,16,2745.44,-14.63,-0.53,0.55,2.29,0.08,-14.35,-0.52,530.81,0.53,0
5,Entry short,2015-03-09,CB V2,171.59,16,2745.44,-14.63,-0.53,0.55,2.29,0.08,-14.35,-0.52,530.81,0.53,0
6,Exit short,2015-03-18,1 ATR stop,173.18,569,97634.71,-924.33,-0.95,19.62,1554.99,1.59,-914.47,-0.94,-383.76,-0.38,7
6,Entry short,2015-03-09,CB V2,171.59,569,97634.71,-924.33,-0.95,19.62,1554.99,1.59,-914.47,-0.94,-383.76,-0.38,7
7,Exit long,2015-03-25,1 ATR stop,171.55,572,99207.68,-1100.81,-1.11,19.73,973.92,0.98,-1091,-1.10,-1484.57,-1.48,4
7,Entry long,2015-03-19,CB V2,173.44,572,99207.68,-1100.81,-1.11,19.73,973.92,0.98,-1091,-1.10,-1484.57,-1.48,4
8,Exit short,2015-03-26,Margin call,171.23,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1518.52,-1.52,0
8,Entry short,2015-03-26,CB V2,170.04,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1518.52,-1.52,0
9,Exit short,2015-03-30,1 ATR stop,171.89,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2558.55,-2.56,2
9,Entry short,2015-03-26,CB V2,170.04,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2558.55,-2.56,2
10,Exit long,2015-04-01,1 ATR stop,170.14,563,96819.11,-1049.55,-1.08,19.26,378.79,0.39,-1039.97,-1.07,-3608.1,-3.61,1
10,Entry long,2015-03-31,CB V2,171.97,563,96819.11,-1049.55,-1.08,19.26,378.79,0.39,-1039.97,-1.07,-3608.1,-3.61,1
11,Exit long,2015-04-27,2R target,176.17,558,96238.26,2045.15,2.12,19.45,2054.98,2.14,-405.8,-0.42,-1562.95,-1.56,14
11,Entry long,2015-04-07,CB V2,172.47,558,96238.26,2045.15,2.12,19.45,2054.98,2.14,-405.8,-0.42,-1562.95,-1.56,14
12,Exit long,2015-05-12,1 ATR stop,173.76,560,98308,-1021.96,-1.04,19.56,130.17,0.13,-1012.23,-1.03,-2584.91,-2.58,1
12,Entry long,2015-05-11,CB V2,175.55,560,98308,-1021.96,-1.04,19.56,130.17,0.13,-1012.23,-1.03,-2584.91,-2.58,1
13,Exit long,2015-05-26,1 ATR stop,175.33,550,97311.5,-899.37,-0.92,19.37,232.27,0.24,-889.73,-0.91,-3484.29,-3.48,4
13,Entry long,2015-05-19,CB V2,176.93,550,97311.5,-899.37,-0.92,19.37,232.27,0.24,-889.73,-0.91,-3484.29,-3.48,4
14,Exit long,2015-06-15,1 ATR stop,173.1,549,95954.22,-941.42,-0.98,19.1,369.21,0.38,-931.92,-0.97,-4425.71,-4.43,1
14,Entry long,2015-06-12,CB V2,174.78,549,95954.22,-941.42,-0.98,19.1,369.21,0.38,-931.92,-0.97,-4425.71,-4.43,1
15,Exit long,2015-06-26,1 ATR stop,174.76,541,95383.71,-857.54,-0.90,18.99,493.59,0.52,-848.09,-0.89,-5283.25,-5.28,5
15,Entry long,2015-06-19,CB V2,176.31,541,95383.71,-857.54,-0.90,18.99,493.59,0.52,-848.09,-0.89,-5283.25,-5.28,5
16,Exit long,2015-07-27,1 ATR stop,172.52,541,94599.26,-1284.73,-1.36,18.79,1548.62,1.64,-1275.4,-1.35,-6567.98,-6.57,9
16,Entry long,2015-07-14,CB V2,174.86,541,94599.26,-1284.73,-1.36,18.79,1548.62,1.64,-1275.4,-1.35,-6567.98,-6.57,9
17,Exit long,2015-08-12,1 ATR stop,172.61,532,92695.68,-885.61,-0.96,18.45,203.53,0.22,-876.43,-0.95,-7453.6,-7.45,1
17,Entry long,2015-08-11,CB V2,174.24,532,92695.68,-885.61,-0.96,18.45,203.53,0.22,-876.43,-0.95,-7453.6,-7.45,1
18,Exit short,2015-09-03,Margin call,163.64,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-7505.13,-7.51,2
18,Entry short,2015-09-01,CB V2,161,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-7505.13,-7.51,2
19,Exit short,2015-09-03,1 ATR stop,164.21,545,87745,-1767.17,-2.01,17.72,1070.33,1.22,-1758.22,-2.00,-9263.53,-9.26,2
19,Entry short,2015-09-01,CB V2,161,545,87745,-1767.17,-2.01,17.72,1070.33,1.22,-1758.22,-2.00,-9263.53,-9.26,2
20,Exit long,2015-10-22,2R target,172.23,545,90584.45,3262.46,3.60,18.44,3271.84,3.61,-614.01,-0.68,-6001.07,-6.00,12
20,Entry long,2015-10-06,CB V2,166.21,545,90584.45,3262.46,3.60,18.44,3271.84,3.61,-614.01,-0.68,-6001.07,-6.00,12
21,Exit long,2015-11-13,1 ATR stop,171.25,540,93819.6,-1363.23,-1.45,18.63,1961.62,2.09,-1353.98,-1.44,-7364.3,-7.36,14
21,Entry long,2015-10-26,CB V2,173.74,540,93819.6,-1363.23,-1.45,18.63,1961.62,2.09,-1353.98,-1.44,-7364.3,-7.36,14
22,Exit long,2015-12-03,1 ATR stop,172.81,529,92479.78,-1081.68,-1.17,18.39,1054.04,1.14,-1072.54,-1.16,-8445.98,-8.45,9
22,Entry long,2015-11-19,CB V2,174.82,529,92479.78,-1081.68,-1.17,18.39,1054.04,1.14,-1072.54,-1.16,-8445.98,-8.45,9
23,Exit long,2015-12-08,1 ATR stop,173.04,521,91362.56,-1226.87,-1.34,18.15,204.47,0.22,-1217.86,-1.33,-9672.85,-9.67,1
23,Entry long,2015-12-07,CB V2,175.36,521,91362.56,-1226.87,-1.34,18.15,204.47,0.22,-1217.86,-1.33,-9672.85,-9.67,1
24,Exit short,2016-01-05,Margin call,169.8,1,169.78,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-9681.92,-9.68,0
24,Entry short,2016-01-05,CB V2,169.78,1,169.78,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-9681.92,-9.68,0
25,Exit short,2016-01-05,Margin call,170.22,4,679.12,-1.9,-0.28,0.14,0,0.00,-1.83,-0.27,-9683.75,-9.68,0
25,Entry short,2016-01-05,CB V2,169.78,4,679.12,-1.9,-0.28,0.14,0,0.00,-1.83,-0.27,-9683.75,-9.68,0
26,Exit short,2016-01-07,2R target,164.67,527,89474.06,2675.34,2.99,17.63,2684.02,3.00,-240.83,-0.27,-6999.46,-7.00,2
