Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2015-01-27,1 ATR stop,167.54,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
1,Entry long,2015-01-23,CB V1,169.99,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
2,Exit long,2015-02-17,2R target,173.51,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
2,Entry long,2015-02-04,CB V1,168.45,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
3,Exit long,2015-03-04,1 ATR stop,173.15,579,101145.51,-911.8,-0.90,20.14,262.02,0.26,-901.77,-0.89,555.26,0.56,1
3,Entry long,2015-03-03,CB V1,174.69,579,101145.51,-911.8,-0.90,20.14,262.02,0.26,-901.77,-0.89,555.26,0.56,1
4,Exit short,2015-03-09,Margin call,171.61,1,171.59,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,545.16,0.55,0
4,Entry short,2015-03-09,CB V1,171.59,1,171.59,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,545.16,0.55,0
5,Exit short,2015-03-09,Margin call,172.47,16,2745.44,-14.63,-0.53,0.55,2.29,0.08,-14.35,-0.52,530.81,0.53,0
5,Entry short,2015-03-09,CB V1,171.59,16,2745.44,-14.63,-0.53,0.55,2.29,0.08,-14.35,-0.52,530.81,0.53,0
6,Exit short,2015-03-18,1 ATR stop,173.18,569,97634.71,-924.33,-0.95,19.62,1554.99,1.59,-914.47,-0.94,-383.76,-0.38,7
6,Entry short,2015-03-09,CB V1,171.59,569,97634.71,-924.33,-0.95,19.62,1554.99,1.59,-914.47,-0.94,-383.76,-0.38,7
7,Exit long,2015-03-25,1 ATR stop,171.55,572,99207.68,-1100.81,-1.11,19.73,973.92,0.98,-1091,-1.10,-1484.57,-1.48,4
7,Entry long,2015-03-19,CB V1,173.44,572,99207.68,-1100.81,-1.11,19.73,973.92,0.98,-1091,-1.10,-1484.57,-1.48,4
8,Exit short,2015-03-26,Margin call,171.23,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1518.52,-1.52,0
8,Entry short,2015-03-26,CB V1,170.04,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1518.52,-1.52,0
9,Exit short,2015-03-30,1 ATR stop,171.89,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2558.55,-2.56,2
9,Entry short,2015-03-26,CB V1,170.04,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2558.55,-2.56,2
10,Exit long,2015-04-01,1 ATR stop,170.14,563,96819.11,-1049.55,-1.08,19.26,378.79,0.39,-1039.97,-1.07,-3608.1,-3.61,1
10,Entry long,2015-03-31,CB V1,171.97,563,96819.11,-1049.55,-1.08,19.26,378.79,0.39,-1039.97,-1.07,-3608.1,-3.61,1
11,Exit long,2015-04-27,2R target,176.17,558,96238.26,2045.15,2.12,19.45,2054.98,2.14,-405.8,-0.42,-1562.95,-1.56,14
11,Entry long,2015-04-07,CB V1,172.47,558,96238.26,2045.15,2.12,19.45,2054.98,2.14,-405.8,-0.42,-1562.95,-1.56,14
12,Exit long,2015-05-12,1 ATR stop,173.76,560,98308,-1021.96,-1.04,19.56,130.17,0.13,-1012.23,-1.03,-2584.91,-2.58,1
12,Entry long,2015-05-11,CB V1,175.55,560,98308,-1021.96,-1.04,19.56,130.17,0.13,-1012.23,-1.03,-2584.91,-2.58,1
13,Exit long,2015-05-26,1 ATR stop,175.33,550,97311.5,-899.37,-0.92,19.37,232.27,0.24,-889.73,-0.91,-3484.29,-3.48,4
13,Entry long,2015-05-19,CB V1,176.93,550,97311.5,-899.37,-0.92,19.37,232.27,0.24,-889.73,-0.91,-3484.29,-3.48,4
14,Exit long,2015-06-15,1 ATR stop,173.1,549,95954.22,-941.42,-0.98,19.1,369.21,0.38,-931.92,-0.97,-4425.71,-4.43,1
14,Entry long,2015-06-12,CB V1,174.78,549,95954.22,-941.42,-0.98,19.1,369.21,0.38,-931.92,-0.97,-4425.71,-4.43,1
15,Exit long,2015-06-26,1 ATR stop,174.76,541,95383.71,-857.54,-0.90,18.99,493.59,0.52,-848.09,-0.89,-5283.25,-5.28,5
15,Entry long,2015-06-19,CB V1,176.31,541,95383.71,-857.54,-0.90,18.99,493.59,0.52,-848.09,-0.89,-5283.25,-5.28,5
16,Exit long,2015-07-27,1 ATR stop,172.52,541,94599.26,-1284.73,-1.36,18.79,1548.62,1.64,-1275.4,-1.35,-6567.98,-6.57,9
16,Entry long,2015-07-14,CB V1,174.86,541,94599.26,-1284.73,-1.36,18.79,1548.62,1.64,-1275.4,-1.35,-6567.98,-6.57,9
17,Exit long,2015-08-12,1 ATR stop,172.61,532,92695.68,-885.61,-0.96,18.45,203.53,0.22,-876.43,-0.95,-7453.6,-7.45,1
17,Entry long,2015-08-11,CB V1,174.24,532,92695.68,-885.61,-0.96,18.45,203.53,0.22,-876.43,-0.95,-7453.6,-7.45,1
18,Exit long,2015-08-19,1 ATR stop,173.58,527,92388.37,-930.1,-1.01,18.39,169.94,0.18,-920.95,-1.00,-8383.69,-8.38,1
18,Entry long,2015-08-18,CB V1,175.31,527,92388.37,-930.1,-1.01,18.39,169.94,0.18,-920.95,-1.00,-8383.69,-8.38,1
19,Exit short,2015-09-03,Margin call,163.64,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-8435.13,-8.44,2
19,Entry short,2015-09-01,CB V1,161,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-8435.13,-8.44,2
20,Exit short,2015-09-03,1 ATR stop,164.21,539,86779,-1747.72,-2.01,17.53,1058.54,1.22,-1738.87,-2.00,-10174.17,-10.17,2
20,Entry short,2015-09-01,CB V1,161,539,86779,-1747.72,-2.01,17.53,1058.54,1.22,-1738.87,-2.00,-10174.17,-10.17,2
21,Exit long,2015-09-14,Margin call,164.19,1,164.21,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-10183.19,-10.18,0
21,Entry long,2015-09-14,CB V1,164.21,1,164.21,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-10183.19,-10.18,0
22,Exit long,2015-09-24,1 ATR stop,160.94,546,89658.66,-1803.17,-2.01,17.75,2693.73,3.00,-1794.39,-2.00,-11977.4,-11.98,8
22,Entry long,2015-09-14,CB V1,164.21,546,89658.66,-1803.17,-2.01,17.75,2693.73,3.00,-1794.39,-2.00,-11977.4,-11.98,8
23,Exit long,2015-10-22,2R target,172.23,529,87925.09,3166.68,3.60,17.9,3175.79,3.61,-595.98,-0.68,-8810.72,-8.81,12
23,Entry long,2015-10-06,CB V1,166.21,529,87925.09,3166.68,3.60,17.9,3175.79,3.61,-595.98,-0.68,-8810.72,-8.81,12
24,Exit long,2015-11-13,1 ATR stop,171.25,524,91039.76,-1322.84,-1.45,18.08,1903.5,2.09,-1313.86,-1.44,-10133.56,-10.13,14
24,Entry long,2015-10-26,CB V1,173.74,524,91039.76,-1322.84,-1.45,18.08,1903.5,2.09,-1313.86,-1.44,-10133.56,-10.13,14
25,Exit long,2015-12-03,1 ATR stop,172.81,513,89682.66,-1048.96,-1.17,17.83,1022.16,1.14,-1040.1,-1.16,-11182.52,-11.18,9
25,Entry long,2015-11-19,CB V1,174.82,513,89682.66,-1048.96,-1.17,17.83,1022.16,1.14,-1040.1,-1.16,-11182.52,-11.18,9
26,Exit long,2015-12-08,1 ATR stop,173.04,505,88556.8,-1189.19,-1.34,17.59,198.19,0.22,-1180.46,-1.33,-12371.72,-12.37,1
26,Entry long,2015-12-07,CB V1,175.36,505,88556.8,-1189.19,-1.34,17.59,198.19,0.22,-1180.46,-1.33,-12371.72,-12.37,1
27,Exit long,2016-01-04,1 ATR stop,169.01,504,87413.76,-2249.98,-2.57,17.26,868.22,0.99,-2241.46,-2.56,-14621.69,-14.62,5
27,Entry long,2015-12-24,CB V1,173.44,504,87413.76,-2249.98,-2.57,17.26,868.22,0.99,-2241.46,-2.56,-14621.69,-14.62,5
28,Exit long,2016-02-03,1 ATR stop,159.04,522,84731.04,-1728.93,-2.04,16.77,889.37,1.05,-1720.63,-2.03,-16350.63,-16.35,2
28,Entry long,2016-02-01,CB V1,162.32,522,84731.04,-1728.93,-2.04,16.77,889.37,1.05,-1720.63,-2.03,-16350.63,-16.35,2
29,Exit short,2016-02-09,Margin call,157.61,56,8655.92,-171.99,-1.99,1.75,5.85,0.07,-171.11,-1.98,-16530.02,-16.53,0
29,Entry short,2016-02-09,CB V1,154.57,56,8655.92,-171.99,-1.99,1.75,5.85,0.07,-171.11,-1.98,-16530.02,-16.53,0
30,Exit short,2016-02-10,1 ATR stop,157.91,479,74039.03,-1614.83,-2.18,14.97,50.08,0.07,-1607.26,-2.17,-18137.44,-18.14,1
30,Entry short,2016-02-09,CB V1,154.57,479,74039.03,-1614.83,-2.18,14.97,50.08,0.07,-1607.26,-2.17,-18137.44,-18.14,1
31,Exit long,2016-02-24,1 ATR stop,160.62,498,81452.88,-1480.26,-1.82,16.14,121.33,0.15,-1472.27,-1.81,-19617.71,-19.62,1
