Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2015-01-16,1 ATR stop,166.58,608,99821.44,-1479.31,-1.48,20.11,99.46,0.10,-1469.18,-1.47,-1479.31,-1.48,0
1,Entry short,2015-01-16,CB V0,164.18,608,99821.44,-1479.31,-1.48,20.11,99.46,0.10,-1469.18,-1.47,-1479.31,-1.48,0
2,Exit long,2015-02-02,1 ATR stop,164.05,590,98205.5,-1435.5,-1.46,19.5,2302.98,2.34,-1425.82,-1.45,-2914.81,-2.91,8
2,Entry long,2015-01-21,CB V0,166.45,590,98205.5,-1435.5,-1.46,19.5,2302.98,2.34,-1425.82,-1.45,-2914.81,-2.91,8
3,Exit long,2015-02-17,2R target,173.51,573,96521.85,2879.79,2.98,19.59,2889.73,2.99,-210.2,-0.22,-35.02,-0.04,8
3,Entry long,2015-02-04,CB V0,168.45,573,96521.85,2879.79,2.98,19.59,2889.73,2.99,-210.2,-0.22,-35.02,-0.04,8
4,Exit long,2015-03-10,1 ATR stop,170.73,575,99463.5,-1313.51,-1.32,19.76,1329.8,1.34,-1303.7,-1.31,-1348.54,-1.35,13
4,Entry long,2015-02-19,CB V0,172.98,575,99463.5,-1313.51,-1.32,19.76,1329.8,1.34,-1303.7,-1.31,-1348.54,-1.35,13
5,Exit long,2015-03-13,1 ATR stop,169.16,576,98380.8,-964.22,-0.98,19.58,543.12,0.55,-954.48,-0.97,-2312.76,-2.31,0
5,Entry long,2015-03-13,CB V0,170.8,576,98380.8,-964.22,-0.98,19.58,543.12,0.55,-954.48,-0.97,-2312.76,-2.31,0
6,Exit long,2015-03-20,2R target,175.08,566,97102.96,1972.7,2.03,19.62,1982.61,2.04,-513.45,-0.53,-340.06,-0.34,3
6,Entry long,2015-03-17,CB V0,171.56,566,97102.96,1972.7,2.03,19.62,1982.61,2.04,-513.45,-0.53,-340.06,-0.34,3
7,Exit long,2015-03-25,1 ATR stop,172.74,570,99516.3,-1074.3,-1.08,19.8,314.95,0.32,-1064.45,-1.07,-1414.36,-1.41,2
7,Entry long,2015-03-23,CB V0,174.59,570,99516.3,-1074.3,-1.08,19.8,314.95,0.32,-1064.45,-1.07,-1414.36,-1.41,2
8,Exit short,2015-03-26,Margin call,171.23,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1448.31,-1.45,0
8,Entry short,2015-03-26,CB V0,170.04,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,-1448.31,-1.45,0
9,Exit short,2015-03-30,1 ATR stop,171.89,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2488.33,-2.49,2
9,Entry short,2015-03-26,CB V0,170.04,557,94712.28,-1049.5,-1.11,19.05,369.29,0.39,-1039.92,-1.10,-2488.33,-2.49,2
10,Exit long,2015-04-01,1 ATR stop,170.14,564,96991.08,-1051.41,-1.08,19.3,379.46,0.39,-1041.82,-1.07,-3539.75,-3.54,1
10,Entry long,2015-03-31,CB V0,171.97,564,96991.08,-1051.41,-1.08,19.3,379.46,0.39,-1041.82,-1.07,-3539.75,-3.54,1
11,Exit short,2015-04-02,Margin call,171.74,28,4776.52,-33.16,-0.69,0.96,4.28,0.09,-32.68,-0.68,-3582.07,-3.58,0
11,Entry short,2015-04-02,CB V0,170.59,28,4776.52,-33.16,-0.69,0.96,4.28,0.09,-32.68,-0.68,-3582.07,-3.58,0
12,Exit short,2015-04-06,1 ATR stop,172.38,537,91606.83,-979.65,-1.07,18.42,168.05,0.18,-970.39,-1.06,-4552.56,-4.55,1
12,Entry short,2015-04-02,CB V0,170.59,537,91606.83,-979.65,-1.07,18.42,168.05,0.18,-970.39,-1.06,-4552.56,-4.55,1
13,Exit long,2015-04-27,2R target,176.17,553,95375.91,2026.82,2.12,19.28,2036.56,2.14,-402.17,-0.42,-2525.74,-2.53,14
13,Entry long,2015-04-07,CB V0,172.47,553,95375.91,2026.82,2.12,19.28,2036.56,2.14,-402.17,-0.42,-2525.74,-2.53,14
14,Exit long,2015-04-30,1 ATR stop,172.95,555,96875.25,-907.29,-0.94,19.29,412.11,0.43,-897.69,-0.93,-3433.02,-3.43,1
14,Entry long,2015-04-29,CB V0,174.55,555,96875.25,-907.29,-0.94,19.29,412.11,0.43,-897.69,-0.93,-3433.02,-3.43,1
15,Exit short,2015-05-07,Margin call,173.73,28,4830,-35.41,-0.73,0.97,8.48,0.18,-34.92,-0.72,-3477.59,-3.48,0
15,Entry short,2015-05-07,CB V0,172.5,28,4830,-35.41,-0.73,0.97,8.48,0.18,-34.92,-0.72,-3477.59,-3.48,0
16,Exit short,2015-05-08,1 ATR stop,174.98,531,91597.5,-1335.33,-1.46,18.45,160.76,0.18,-1326.04,-1.45,-4803.76,-4.80,1
16,Entry short,2015-05-07,CB V0,172.5,531,91597.5,-1335.33,-1.46,18.45,160.76,0.18,-1326.04,-1.45,-4803.76,-4.80,1
17,Exit long,2015-05-12,1 ATR stop,173.76,542,95148.1,-989.11,-1.04,18.93,125.99,0.13,-979.69,-1.03,-5792.87,-5.79,1
17,Entry long,2015-05-11,CB V0,175.55,542,95148.1,-989.11,-1.04,18.93,125.99,0.13,-979.69,-1.03,-5792.87,-5.79,1
18,Exit long,2015-05-26,1 ATR stop,174.55,534,94128.18,-937.21,-1.00,18.73,577.99,0.61,-927.89,-0.99,-6730.09,-6.73,6
18,Entry long,2015-05-15,CB V0,176.27,534,94128.18,-937.21,-1.00,18.73,577.99,0.61,-927.89,-0.99,-6730.09,-6.73,6
19,Exit long,2015-06-01,1 ATR stop,174.76,529,93220.38,-790.91,-0.85,18.57,6.55,0.01,-781.66,-0.84,-7521,-7.52,1
19,Entry long,2015-05-29,CB V0,176.22,529,93220.38,-790.91,-0.85,18.57,6.55,0.01,-781.66,-0.84,-7521,-7.52,1
20,Exit long,2015-06-05,1 ATR stop,173.69,525,91943.25,-774.31,-0.84,18.31,332.06,0.36,-765.19,-0.83,-8295.31,-8.30,1
20,Entry long,2015-06-04,CB V0,175.13,525,91943.25,-774.31,-0.84,18.31,332.06,0.36,-765.19,-0.83,-8295.31,-8.30,1
21,Exit long,2015-06-15,1 ATR stop,173.1,522,91235.16,-895.12,-0.98,18.16,351.06,0.38,-886.08,-0.97,-9190.43,-9.19,1
21,Entry long,2015-06-12,CB V0,174.78,522,91235.16,-895.12,-0.98,18.16,351.06,0.38,-886.08,-0.97,-9190.43,-9.19,1
