Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-21 08:15,TX60,590.72,100,58887,-185,-0.31,0,19,0.03,-188,-0.32,-185,-0.18,4
1,Entry short,2025-01-21 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,588.87,100,58887,-185,-0.31,0,19,0.03,-188,-0.32,-185,-0.18,4
2,Exit long,2025-01-22 08:00,TX60,596.34,100,59629,5,0.01,0,57,0.10,-50,-0.08,-180,-0.18,4
2,Entry long,2025-01-22 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,596.29,100,59629,5,0.01,0,57,0.10,-50,-0.08,-180,-0.18,4
3,Exit short,2025-01-24 08:15,TX60,599.28,100,59929,1,0.00,0,48,0.08,-34,-0.06,-179,-0.18,4
3,Entry short,2025-01-24 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,599.29,100,59929,1,0.00,0,48,0.08,-34,-0.06,-179,-0.18,4
4,Exit long,2025-01-27 08:00,TX60,588,100,58852,-52,-0.09,0,107,0.18,-189,-0.32,-231,-0.23,4
4,Entry long,2025-01-27 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.52,100,58852,-52,-0.09,0,107,0.18,-189,-0.32,-231,-0.23,4
5,Exit long,2025-01-28 08:15,TX60,592.85,100,59071,214,0.36,0,270,0.46,-18,-0.03,-17,-0.02,4
5,Entry long,2025-01-28 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,590.71,100,59071,214,0.36,0,270,0.46,-18,-0.03,-17,-0.02,4
6,Exit long,2025-01-30 08:00,TX60,591.38,100,59478,-340,-0.57,0,0,0.00,-348,-0.59,-357,-0.36,4
6,Entry long,2025-01-30 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,594.78,100,59478,-340,-0.57,0,0,0.00,-348,-0.59,-357,-0.36,4
7,Exit long,2025-01-31 08:00,TX60,599.19,100,59788,131,0.22,0,149,0.25,-7,-0.01,-226,-0.23,4
7,Entry long,2025-01-31 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.88,100,59788,131,0.22,0,149,0.25,-7,-0.01,-226,-0.23,4
8,Exit short,2025-02-03 08:15,TX60,588.1,100,58114,-696,-1.20,0,58,0.10,-749,-1.29,-922,-0.92,4
8,Entry short,2025-02-03 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,581.14,100,58114,-696,-1.20,0,58,0.10,-749,-1.29,-922,-0.92,4
9,Exit long,2025-02-04 08:00,TX60,590.29,100,58894,135,0.23,0,222,0.38,-4,-0.01,-787,-0.79,4
9,Entry long,2025-02-04 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.94,100,58894,135,0.23,0,222,0.38,-4,-0.01,-787,-0.79,4
10,Exit short,2025-02-05 08:00,TX60,590.45,100,59002,-43,-0.07,0,151,0.26,-96,-0.16,-830,-0.83,4
10,Entry short,2025-02-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,590.02,100,59002,-43,-0.07,0,151,0.26,-96,-0.16,-830,-0.83,4
11,Exit short,2025-02-06 08:30,TX60,595.36,100,59477,-59,-0.10,0,78,0.13,-79,-0.13,-889,-0.89,4
11,Entry short,2025-02-06 07:30,C0|S|MKT|15|v0.3.0-tier0|SPY,594.77,100,59477,-59,-0.10,0,78,0.13,-79,-0.13,-889,-0.89,4
12,Exit long,2025-02-07 08:00,TX60,593.31,100,59754,-423,-0.71,0,4,0.01,-648,-1.08,-1312,-1.31,4
12,Entry long,2025-02-07 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.54,100,59754,-423,-0.71,0,4,0.01,-648,-1.08,-1312,-1.31,4
13,Exit long,2025-02-10 08:15,TX60,594.49,100,59422,27,0.05,0,95,0.16,-29,-0.05,-1285,-1.28,4
13,Entry long,2025-02-10 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,594.22,100,59422,27,0.05,0,95,0.16,-29,-0.05,-1285,-1.28,4
14,Exit long,2025-02-11 08:30,TX60,594.45,100,59399,46,0.08,0,105,0.18,-16,-0.03,-1239,-1.24,4
