Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
70,Exit short,2025-05-12 08:00,TX30,571.03,100,57025,-78,-0.14,0,122,0.21,-188,-0.33,-875,-0.88,2
70,Entry short,2025-05-12 07:30,C0|S|MKT|15|v0.3.0-tier0|SPY,570.25,100,57025,-78,-0.14,0,122,0.21,-188,-0.33,-875,-0.88,2
71,Exit long,2025-05-13 07:30,TX30,578.7,100,57716,154,0.27,0,258,0.45,-6,-0.01,-721,-0.72,2
71,Entry long,2025-05-13 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,577.16,100,57716,154,0.27,0,258,0.45,-6,-0.01,-721,-0.72,2
72,Exit short,2025-05-14 07:30,TX30,579.34,100,57939,5,0.01,0,113,0.20,-25,-0.04,-716,-0.72,2
72,Entry short,2025-05-14 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,579.39,100,57939,5,0.01,0,113,0.20,-25,-0.04,-716,-0.72,2
73,Exit long,2025-05-19 07:30,TX30,584.05,100,58302,103,0.18,0,204,0.35,-17,-0.03,-613,-0.61,2
73,Entry long,2025-05-19 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,583.02,100,58302,103,0.18,0,204,0.35,-17,-0.03,-613,-0.61,2
74,Exit long,2025-05-21 07:45,TX30,581.14,100,58182,-68,-0.12,0,54,0.09,-82,-0.14,-681,-0.68,2
74,Entry long,2025-05-21 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,581.82,100,58182,-68,-0.12,0,54,0.09,-82,-0.14,-681,-0.68,2
75,Exit long,2025-05-22 07:30,TX30,574.76,100,57610,-134,-0.23,0,95,0.16,-167,-0.29,-815,-0.81,2
75,Entry long,2025-05-22 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,576.1,100,57610,-134,-0.23,0,95,0.16,-167,-0.29,-815,-0.81,2
76,Exit long,2025-05-23 07:45,TX30,570.39,100,57023,16,0.03,0,47,0.08,-130,-0.23,-799,-0.80,2
76,Entry long,2025-05-23 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,570.23,100,57023,16,0.03,0,47,0.08,-130,-0.23,-799,-0.80,2
77,Exit long,2025-05-27 07:45,TX30,579.95,100,57890,105,0.18,0,120,0.21,-7,-0.01,-694,-0.69,2
77,Entry long,2025-05-27 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,578.9,100,57890,105,0.18,0,120,0.21,-7,-0.01,-694,-0.69,2
78,Exit short,2025-05-28 07:30,TX30,582.05,100,58260,55,0.09,0,81,0.14,-35,-0.06,-639,-0.64,2
78,Entry short,2025-05-28 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,582.6,100,58260,55,0.09,0,81,0.14,-35,-0.06,-639,-0.64,2
79,Exit short,2025-05-29 07:45,TX30,581.56,100,58152,-4,-0.01,0,119,0.20,-77,-0.13,-643,-0.64,2
79,Entry short,2025-05-29 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,581.52,100,58152,-4,-0.01,0,119,0.20,-77,-0.13,-643,-0.64,2
80,Exit short,2025-05-30 07:30,TX30,581.4,100,57891,-249,-0.43,0,4,0.01,-261,-0.45,-892,-0.89,2
80,Entry short,2025-05-30 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,578.91,100,57891,-249,-0.43,0,4,0.01,-261,-0.45,-892,-0.89,2
81,Exit short,2025-06-02 07:30,TX30,580.41,100,57849,-192,-0.33,0,155,0.27,-195,-0.34,-1084,-1.08,2
81,Entry short,2025-06-02 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,578.49,100,57849,-192,-0.33,0,155,0.27,-195,-0.34,-1084,-1.08,2
82,Exit long,2025-06-03 08:00,TX30,586.12,100,58565,47,0.08,0,51,0.09,-71,-0.12,-1037,-1.04,2
82,Entry long,2025-06-03 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,585.65,100,58565,47,0.08,0,51,0.09,-71,-0.12,-1037,-1.04,2
83,Exit short,2025-06-04 07:45,TX30,588.72,100,58851,-21,-0.04,0,14,0.02,-98,-0.17,-1058,-1.06,2
83,Entry short,2025-06-04 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,588.51,100,58851,-21,-0.04,0,14,0.02,-98,-0.17,-1058,-1.06,2
84,Exit short,2025-06-05 07:30,TX30,587.89,100,58605,-184,-0.31,0,11,0.02,-189,-0.32,-1242,-1.24,2
84,Entry short,2025-06-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,586.05,100,58605,-184,-0.31,0,11,0.02,-189,-0.32,-1242,-1.24,2
85,Exit long,2025-06-10 08:00,TX30,592.73,100,59286,-13,-0.02,0,59,0.10,-19,-0.03,-1255,-1.26,2
85,Entry long,2025-06-10 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,592.86,100,59286,-13,-0.02,0,59,0.10,-19,-0.03,-1255,-1.26,2
86,Exit long,2025-06-11 08:00,TX30,596.31,100,59635,-4,-0.01,0,32,0.05,-36,-0.06,-1259,-1.26,2
86,Entry long,2025-06-11 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,596.35,100,59635,-4,-0.01,0,32,0.05,-36,-0.06,-1259,-1.26,2
87,Exit long,2025-06-12 07:45,TX30,594.58,100,59351,107,0.18,0,124,0.21,-6,-0.01,-1152,-1.15,2
87,Entry long,2025-06-12 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,593.51,100,59351,107,0.18,0,124,0.21,-6,-0.01,-1152,-1.15,2
88,Exit short,2025-06-13 07:30,TX30,588.5,100,58988,138,0.23,0,154,0.26,-98,-0.17,-1014,-1.01,2
88,Entry short,2025-06-13 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,589.88,100,58988,138,0.23,0,154,0.26,-98,-0.17,-1014,-1.01,2
89,Exit long,2025-06-16 07:30,TX30,595.69,100,59469,100,0.17,0,112,0.19,-9,-0.02,-914,-0.91,2
89,Entry long,2025-06-16 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,594.69,100,59469,100,0.17,0,112,0.19,-9,-0.02,-914,-0.91,2
90,Exit long,2025-06-17 07:45,TX30,592.28,100,59317,-89,-0.15,0,9,0.02,-101,-0.17,-1003,-1.00,2
90,Entry long,2025-06-17 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,593.17,100,59317,-89,-0.15,0,9,0.02,-101,-0.17,-1003,-1.00,2
91,Exit long,2025-06-18 07:30,TX30,592.46,100,59082,164,0.28,0,188,0.32,-38,-0.06,-839,-0.84,2
91,Entry long,2025-06-18 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,590.82,100,59082,164,0.28,0,188,0.32,-38,-0.06,-839,-0.84,2
92,Exit short,2025-06-20 07:30,TX30,589.62,100,59079,117,0.20,0,200,0.34,-25,-0.04,-722,-0.72,2
92,Entry short,2025-06-20 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,590.79,100,59079,117,0.20,0,200,0.34,-25,-0.04,-722,-0.72,2
93,Exit long,2025-06-23 07:30,TX30,591,100,59012,88,0.15,0,161,0.27,0,0.00,-634,-0.63,2
93,Entry long,2025-06-23 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,590.12,100,59012,88,0.15,0,161,0.27,0,0.00,-634,-0.63,2
94,Exit short,2025-06-25 07:45,TX30,601.47,100,60083,-64,-0.11,0,18,0.03,-69,-0.11,-698,-0.70,2
94,Entry short,2025-06-25 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,600.83,100,60083,-64,-0.11,0,18,0.03,-69,-0.11,-698,-0.70,2
95,Exit long,2025-06-26 07:45,TX30,603.32,100,60272,60,0.10,0,117,0.19,-13,-0.02,-638,-0.64,2
95,Entry long,2025-06-26 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,602.72,100,60272,60,0.10,0,117,0.19,-13,-0.02,-638,-0.64,2
96,Exit long,2025-06-27 07:30,TX30,608.17,100,60769,48,0.08,0,106,0.17,0,0.00,-590,-0.59,2
96,Entry long,2025-06-27 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,607.69,100,60769,48,0.08,0,106,0.17,0,0.00,-590,-0.59,2
97,Exit long,2025-07-01 07:30,TX30,610.34,100,61047,-13,-0.02,0,82,0.13,-48,-0.08,-603,-0.60,2
97,Entry long,2025-07-01 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,610.47,100,61047,-13,-0.02,0,82,0.13,-48,-0.08,-603,-0.60,2
98,Exit long,2025-07-02 07:45,TX30,611.56,100,61115,41,0.07,0,118,0.19,-5,-0.01,-562,-0.56,2
98,Entry long,2025-07-02 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,611.15,100,61115,41,0.07,0,118,0.19,-5,-0.01,-562,-0.56,2
99,Exit long,2025-07-03 07:30,TX30,618.15,100,61723,92,0.15,0,103,0.17,-1,0.00,-470,-0.47,2
99,Entry long,2025-07-03 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,617.23,100,61723,92,0.15,0,103,0.17,-1,0.00,-470,-0.47,2
100,Exit short,2025-07-07 07:45,TX30,615.85,100,61593,8,0.01,0,23,0.04,-66,-0.11,-462,-0.46,2
100,Entry short,2025-07-07 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,615.93,100,61593,8,0.01,0,23,0.04,-66,-0.11,-462,-0.46,2
101,Exit short,2025-07-08 07:45,TX30,614.28,100,61352,-76,-0.12,0,66,0.11,-116,-0.19,-538,-0.54,2
101,Entry short,2025-07-08 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,613.52,100,61352,-76,-0.12,0,66,0.11,-116,-0.19,-538,-0.54,2
102,Exit long,2025-07-09 07:30,TX30,616.55,100,61739,-84,-0.14,0,30,0.05,-107,-0.17,-622,-0.62,2
102,Entry long,2025-07-09 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,617.39,100,61739,-84,-0.14,0,30,0.05,-107,-0.17,-622,-0.62,2
103,Exit short,2025-07-10 07:30,TX30,616.93,100,61659,-34,-0.06,0,41,0.07,-84,-0.14,-656,-0.66,2
103,Entry short,2025-07-10 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,616.59,100,61659,-34,-0.06,0,41,0.07,-84,-0.14,-656,-0.66,2
104,Exit long,2025-07-11 07:45,TX30,617.13,100,61674,39,0.06,0,80,0.13,-17,-0.03,-617,-0.62,2
104,Entry long,2025-07-11 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,616.74,100,61674,39,0.06,0,80,0.13,-17,-0.03,-617,-0.62,2
105,Exit short,2025-07-15 07:30,TX30,618.64,100,61881,17,0.03,0,39,0.06,-73,-0.12,-600,-0.60,2
105,Entry short,2025-07-15 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,618.81,100,61881,17,0.03,0,39,0.06,-73,-0.12,-600,-0.60,2
106,Exit short,2025-07-16 07:30,TX30,615.67,100,61529,-38,-0.06,0,42,0.07,-74,-0.12,-638,-0.64,2
106,Entry short,2025-07-16 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,615.29,100,61529,-38,-0.06,0,42,0.07,-74,-0.12,-638,-0.64,2
107,Exit long,2025-07-17 07:30,TX30,618.61,100,61894,-33,-0.05,0,43,0.07,-95,-0.15,-671,-0.67,2
107,Entry long,2025-07-17 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,618.94,100,61894,-33,-0.05,0,43,0.07,-95,-0.15,-671,-0.67,2
108,Exit short,2025-07-18 07:45,TX30,620.58,100,62118,60,0.10,0,87,0.14,-15,-0.02,-611,-0.61,2
108,Entry short,2025-07-18 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,621.18,100,62118,60,0.10,0,87,0.14,-15,-0.02,-611,-0.61,2
109,Exit long,2025-07-21 07:30,TX30,624.33,100,62367,66,0.11,0,74,0.12,-20,-0.03,-545,-0.55,2
109,Entry long,2025-07-21 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,623.67,100,62367,66,0.11,0,74,0.12,-20,-0.03,-545,-0.55,2
110,Exit short,2025-07-22 07:30,TX30,620.21,100,62001,-20,-0.03,0,63,0.10,-53,-0.09,-565,-0.56,2
110,Entry short,2025-07-22 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,620.01,100,62001,-20,-0.03,0,63,0.10,-53,-0.09,-565,-0.56,2
111,Exit short,2025-07-23 07:30,TX30,623.81,100,62309,-72,-0.12,0,26,0.04,-73,-0.12,-637,-0.64,2
111,Entry short,2025-07-23 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,623.09,100,62309,-72,-0.12,0,26,0.04,-73,-0.12,-637,-0.64,2
112,Exit long,2025-07-24 07:30,TX30,627.86,100,62817,-31,-0.05,0,20,0.03,-106,-0.17,-668,-0.67,2
112,Entry long,2025-07-24 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,628.17,100,62817,-31,-0.05,0,20,0.03,-106,-0.17,-668,-0.67,2
113,Exit long,2025-07-28 07:45,TX30,630.84,100,63097,-13,-0.02,0,8,0.01,-64,-0.10,-681,-0.68,2
113,Entry long,2025-07-28 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,630.97,100,63097,-13,-0.02,0,8,0.01,-64,-0.10,-681,-0.68,2
114,Exit short,2025-07-29 07:45,TX30,630.22,100,63087,65,0.10,0,68,0.11,-18,-0.03,-616,-0.62,2
114,Entry short,2025-07-29 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,630.87,100,63087,65,0.10,0,68,0.11,-18,-0.03,-616,-0.62,2
115,Exit long,2025-07-30 08:00,TX30,629.26,100,62936,-10,-0.02,0,48,0.08,-13,-0.02,-626,-0.63,2
115,Entry long,2025-07-30 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,629.36,100,62936,-10,-0.02,0,48,0.08,-13,-0.02,-626,-0.63,2
116,Exit short,2025-08-01 07:30,TX30,616.54,100,61458,-196,-0.32,0,172,0.28,-209,-0.34,-822,-0.82,2
116,Entry short,2025-08-01 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,614.58,100,61458,-196,-0.32,0,172,0.28,-209,-0.34,-822,-0.82,2
117,Exit long,2025-08-04 07:30,TX30,622.51,100,62212,39,0.06,0,51,0.08,-74,-0.12,-783,-0.78,2
117,Entry long,2025-08-04 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,622.12,100,62212,39,0.06,0,51,0.08,-74,-0.12,-783,-0.78,2
118,Exit short,2025-08-05 07:45,TX30,620.93,100,62344,251,0.40,0,269,0.43,-27,-0.04,-532,-0.53,2
118,Entry short,2025-08-05 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,623.44,100,62344,251,0.40,0,269,0.43,-27,-0.04,-532,-0.53,2
119,Exit short,2025-08-07 07:45,TX30,627.04,100,62771,67,0.11,0,153,0.24,-7,-0.01,-465,-0.46,2
119,Entry short,2025-08-07 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,627.71,100,62771,67,0.11,0,153,0.24,-7,-0.01,-465,-0.46,2
120,Exit long,2025-08-08 07:30,TX30,629.46,100,62889,57,0.09,0,91,0.14,-11,-0.02,-408,-0.41,2
120,Entry long,2025-08-08 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,628.89,100,62889,57,0.09,0,91,0.14,-11,-0.02,-408,-0.41,2
121,Exit short,2025-08-12 07:30,TX30,632.3,100,63039,-191,-0.30,0,58,0.09,-217,-0.34,-599,-0.60,2
121,Entry short,2025-08-12 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,630.39,100,63039,-191,-0.30,0,58,0.09,-217,-0.34,-599,-0.60,2
122,Exit long,2025-08-13 07:30,TX30,637.19,100,63854,-135,-0.21,0,10,0.02,-161,-0.25,-734,-0.73,2
122,Entry long,2025-08-13 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,638.54,100,63854,-135,-0.21,0,10,0.02,-161,-0.25,-734,-0.73,2
123,Exit long,2025-08-14 07:30,TX30,637.19,100,63697,22,0.03,0,58,0.09,-32,-0.05,-712,-0.71,2
123,Entry long,2025-08-14 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,636.97,100,63697,22,0.03,0,58,0.09,-32,-0.05,-712,-0.71,2
124,Exit short,2025-08-15 07:30,TX30,637.14,100,63676,-38,-0.06,0,59,0.09,-83,-0.13,-750,-0.75,2
124,Entry short,2025-08-15 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,636.76,100,63676,-38,-0.06,0,59,0.09,-83,-0.13,-750,-0.75,2
125,Exit short,2025-08-18 07:30,TX30,635.95,100,63569,-26,-0.04,0,1,0.00,-118,-0.19,-776,-0.78,2
125,Entry short,2025-08-18 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,635.69,100,63569,-26,-0.04,0,1,0.00,-118,-0.19,-776,-0.78,2
