Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
22,Exit short,2025-06-04 07:45,TX30,588.73,100,58850,-23,-0.04,0,13,0.02,-99,-0.17,198,0.20,2
22,Entry short,2025-06-04 07:15,C4|S|MKT|15,588.5,100,58850,-23,-0.04,0,13,0.02,-99,-0.17,198,0.20,2
23,Exit long,2025-06-16 07:30,TX30,595.68,100,59470,98,0.16,0,111,0.19,-10,-0.02,296,0.30,2
23,Entry long,2025-06-16 07:00,C4|L|MKT|15,594.7,100,59470,98,0.16,0,111,0.19,-10,-0.02,296,0.30,2
24,Exit short,2025-07-22 07:30,TX30,620.22,100,62000,-22,-0.04,0,62,0.10,-54,-0.09,274,0.27,2
24,Entry short,2025-07-22 07:00,C4|S|MKT|15,620,100,62000,-22,-0.04,0,62,0.10,-54,-0.09,274,0.27,2
25,Exit short,2025-08-01 07:30,TX30,616.55,100,61457,-198,-0.32,0,171,0.28,-210,-0.34,76,0.08,2
25,Entry short,2025-08-01 07:00,C4|S|MKT|15,614.57,100,61457,-198,-0.32,0,171,0.28,-210,-0.34,76,0.08,2
26,Exit short,2025-08-07 07:45,TX30,627.05,100,62770,65,0.10,0,152,0.24,-8,-0.01,141,0.14,2
26,Entry short,2025-08-07 07:15,C4|S|MKT|15,627.7,100,62770,65,0.10,0,152,0.24,-8,-0.01,141,0.14,2
27,Exit short,2025-08-20 07:30,TX30,627.01,100,62841,140,0.22,0,169,0.27,-91,-0.14,281,0.28,2
27,Entry short,2025-08-20 07:00,C4|S|MKT|15,628.41,100,62841,140,0.22,0,169,0.27,-91,-0.14,281,0.28,2
28,Exit long,2025-08-22 07:45,TX30,638.44,100,63765,79,0.12,0,91,0.14,-165,-0.26,360,0.36,2
28,Entry long,2025-08-22 07:15,C4|L|MKT|15,637.65,100,63765,79,0.12,0,91,0.14,-165,-0.26,360,0.36,2
