Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-01-27 07:20,TX30,691.54,100,69082,72,0.10,0,97,0.14,-1,0.00,72,0.07,6
1,Entry long,2026-01-27 06:50,C0|L|MKT|5,690.82,100,69082,72,0.10,0,97,0.14,-1,0.00,72,0.07,6
2,Exit short,2026-01-28 07:40,TX30,692.94,100,69292,-2,0.00,0,57,0.08,-50,-0.07,70,0.07,6
2,Entry short,2026-01-28 07:10,C0|S|MKT|5,692.92,100,69292,-2,0.00,0,57,0.08,-50,-0.07,70,0.07,6
3,Exit short,2026-01-29 07:25,TX30,686.51,100,68930,279,0.40,0,397,0.58,-34,-0.05,349,0.35,6
3,Entry short,2026-01-29 06:55,C0|S|MKT|5,689.3,100,68930,279,0.40,0,397,0.58,-34,-0.05,349,0.35,6
4,Exit long,2026-02-02 07:20,TX30,691.79,100,68925,254,0.37,0,265,0.38,-70,-0.10,603,0.60,6
4,Entry long,2026-02-02 06:50,C0|L|MKT|5,689.25,100,68925,254,0.37,0,265,0.38,-70,-0.10,603,0.60,6
5,Exit short,2026-02-03 07:30,TX30,688.52,100,68984,132,0.19,0,269,0.39,-21,-0.03,735,0.74,6
5,Entry short,2026-02-03 07:00,C0|S|MKT|5,689.84,100,68984,132,0.19,0,269,0.39,-21,-0.03,735,0.74,6
6,Exit short,2026-02-04 07:30,TX30,686.27,100,68451,-176,-0.26,0,162,0.24,-268,-0.39,559,0.56,6
6,Entry short,2026-02-04 07:00,C0|S|MKT|5,684.51,100,68451,-176,-0.26,0,162,0.24,-268,-0.39,559,0.56,6
7,Exit short,2026-02-05 07:45,TX30,674.25,100,67327,-98,-0.15,0,90,0.13,-170,-0.25,461,0.46,6
7,Entry short,2026-02-05 07:15,C0|S|MKT|5,673.27,100,67327,-98,-0.15,0,90,0.13,-170,-0.25,461,0.46,6
8,Exit long,2026-02-06 08:00,TX30,682.15,100,68204,11,0.02,0,138,0.20,-133,-0.20,472,0.47,6
8,Entry long,2026-02-06 07:30,C0|L|MKT|5,682.04,100,68204,11,0.02,0,138,0.20,-133,-0.20,472,0.47,6
9,Exit long,2026-02-09 07:40,TX30,689.69,100,68796,173,0.25,0,213,0.31,-44,-0.06,645,0.65,6
9,Entry long,2026-02-09 07:10,C0|L|MKT|5,687.96,100,68796,173,0.25,0,213,0.31,-44,-0.06,645,0.65,6
10,Exit long,2026-02-10 07:30,TX30,692.21,100,69205,16,0.02,0,71,0.10,-101,-0.15,661,0.66,6
10,Entry long,2026-02-10 07:00,C0|L|MKT|5,692.05,100,69205,16,0.02,0,71,0.10,-101,-0.15,661,0.66,6
11,Exit short,2026-02-11 07:25,TX30,685.94,100,69145,551,0.80,0,572,0.83,-33,-0.05,1212,1.21,6
11,Entry short,2026-02-11 06:55,C0|S|MKT|5,691.45,100,69145,551,0.80,0,572,0.83,-33,-0.05,1212,1.21,6
12,Exit short,2026-02-12 07:20,TX30,689.16,100,68959,43,0.06,0,109,0.16,-71,-0.10,1255,1.26,6
12,Entry short,2026-02-12 06:50,C0|S|MKT|5,689.59,100,68959,43,0.06,0,109,0.16,-71,-0.10,1255,1.26,6
13,Exit long,2026-02-13 08:00,TX30,678.94,100,67935,-41,-0.06,0,160,0.24,-216,-0.32,1214,1.21,6
13,Entry long,2026-02-13 07:30,C0|L|MKT|5,679.35,100,67935,-41,-0.06,0,160,0.24,-216,-0.32,1214,1.21,6
14,Exit short,2026-02-17 07:25,TX30,674.35,100,67427,-8,-0.01,0,157,0.23,-190,-0.28,1206,1.21,6
