Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-21 07:45,TX30,590.28,100,58886,-142,-0.24,0,18,0.03,-164,-0.28,-142,-0.14,2
1,Entry short,2025-01-21 07:15,C1|S|MKT|15,588.86,100,58886,-142,-0.24,0,18,0.03,-164,-0.28,-142,-0.14,2
2,Exit long,2025-01-22 07:30,TX30,596.5,100,59630,20,0.03,0,53,0.09,-51,-0.09,-122,-0.12,2
2,Entry long,2025-01-22 07:00,C1|L|MKT|15,596.3,100,59630,20,0.03,0,53,0.09,-51,-0.09,-122,-0.12,2
3,Exit short,2025-01-24 07:45,TX30,599.03,100,59928,25,0.04,0,47,0.08,-35,-0.06,-97,-0.10,2
3,Entry short,2025-01-24 07:15,C1|S|MKT|15,599.28,100,59928,25,0.04,0,47,0.08,-35,-0.06,-97,-0.10,2
4,Exit long,2025-01-27 07:30,TX30,588.89,100,58853,36,0.06,0,59,0.10,-190,-0.32,-61,-0.06,2
4,Entry long,2025-01-27 07:00,C1|L|MKT|15,588.53,100,58853,36,0.06,0,59,0.10,-190,-0.32,-61,-0.06,2
5,Exit long,2025-01-28 07:45,TX30,592.21,100,59072,149,0.25,0,192,0.33,-19,-0.03,88,0.09,2
5,Entry long,2025-01-28 07:15,C1|L|MKT|15,590.72,100,59072,149,0.25,0,192,0.33,-19,-0.03,88,0.09,2
6,Exit long,2025-01-30 07:30,TX30,592.49,100,59479,-230,-0.39,0,0,0.00,-252,-0.42,-142,-0.14,2
6,Entry long,2025-01-30 07:00,C1|L|MKT|15,594.79,100,59479,-230,-0.39,0,0,0.00,-252,-0.42,-142,-0.14,2
7,Exit long,2025-01-31 07:30,TX30,598.7,100,59789,81,0.14,0,88,0.15,-8,-0.01,-61,-0.06,2
7,Entry long,2025-01-31 07:00,C1|L|MKT|15,597.89,100,59789,81,0.14,0,88,0.15,-8,-0.01,-61,-0.06,2
8,Exit short,2025-02-03 07:45,TX30,588.07,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-755,-0.75,2
8,Entry short,2025-02-03 07:15,C1|S|MKT|15,581.13,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-755,-0.75,2
9,Exit long,2025-02-04 07:30,TX30,590.4,100,58895,145,0.25,0,207,0.35,-5,-0.01,-610,-0.61,2
9,Entry long,2025-02-04 07:00,C1|L|MKT|15,588.95,100,58895,145,0.25,0,207,0.35,-5,-0.01,-610,-0.61,2
10,Exit short,2025-02-05 07:30,TX30,590.52,100,59001,-51,-0.09,0,150,0.25,-97,-0.16,-661,-0.66,2
10,Entry short,2025-02-05 07:00,C1|S|MKT|15,590.01,100,59001,-51,-0.09,0,150,0.25,-97,-0.16,-661,-0.66,2
11,Exit short,2025-02-06 08:00,TX30,594.46,100,59476,30,0.05,0,77,0.13,-80,-0.13,-631,-0.63,2
11,Entry short,2025-02-06 07:30,C1|S|MKT|15,594.76,100,59476,30,0.05,0,77,0.13,-80,-0.13,-631,-0.63,2
12,Exit long,2025-02-07 07:30,TX30,594.38,100,59755,-317,-0.53,0,3,0.01,-393,-0.66,-948,-0.95,2
12,Entry long,2025-02-07 07:00,C1|L|MKT|15,597.55,100,59755,-317,-0.53,0,3,0.01,-393,-0.66,-948,-0.95,2
13,Exit long,2025-02-10 07:45,TX30,594.64,100,59423,41,0.07,0,57,0.10,-30,-0.05,-907,-0.91,2
13,Entry long,2025-02-10 07:15,C1|L|MKT|15,594.23,100,59423,41,0.07,0,57,0.10,-30,-0.05,-907,-0.91,2
14,Exit long,2025-02-11 08:00,TX30,594.53,100,59400,53,0.09,0,104,0.18,-17,-0.03,-854,-0.85,2
14,Entry long,2025-02-11 07:30,C1|L|MKT|15,594,100,59400,53,0.09,0,104,0.18,-17,-0.03,-854,-0.85,2
15,Exit long,2025-02-12 07:30,TX30,591.32,100,59125,7,0.01,0,97,0.16,-174,-0.29,-847,-0.85,2
15,Entry long,2025-02-12 07:00,C1|L|MKT|15,591.25,100,59125,7,0.01,0,97,0.16,-174,-0.29,-847,-0.85,2
16,Exit long,2025-02-13 07:45,TX30,597.02,100,59511,191,0.32,0,216,0.36,-1,0.00,-656,-0.66,2
16,Entry long,2025-02-13 07:15,C1|L|MKT|15,595.11,100,59511,191,0.32,0,216,0.36,-1,0.00,-656,-0.66,2
17,Exit long,2025-02-14 07:45,TX30,599.8,100,60039,-59,-0.10,0,11,0.02,-92,-0.15,-715,-0.71,2
17,Entry long,2025-02-14 07:15,C1|L|MKT|15,600.39,100,60039,-59,-0.10,0,11,0.02,-92,-0.15,-715,-0.71,2
18,Exit short,2025-02-18 08:00,TX30,600.33,100,59936,-97,-0.16,0,22,0.04,-99,-0.17,-812,-0.81,2
18,Entry short,2025-02-18 07:30,C1|S|MKT|15,599.36,100,59936,-97,-0.16,0,22,0.04,-99,-0.17,-812,-0.81,2
19,Exit short,2025-02-19 07:45,TX30,600.28,100,59942,-86,-0.14,0,6,0.01,-118,-0.20,-898,-0.90,2
19,Entry short,2025-02-19 07:15,C1|S|MKT|15,599.42,100,59942,-86,-0.14,0,6,0.01,-118,-0.20,-898,-0.90,2
20,Exit short,2025-02-20 07:30,TX30,598.78,100,59815,-63,-0.11,0,135,0.23,-95,-0.16,-961,-0.96,2
20,Entry short,2025-02-20 07:00,C1|S|MKT|15,598.15,100,59815,-63,-0.11,0,135,0.23,-95,-0.16,-961,-0.96,2
21,Exit short,2025-02-21 07:30,TX30,596.54,100,59822,168,0.28,0,189,0.32,-19,-0.03,-793,-0.79,2
21,Entry short,2025-02-21 07:00,C1|S|MKT|15,598.22,100,59822,168,0.28,0,189,0.32,-19,-0.03,-793,-0.79,2
22,Exit short,2025-02-24 07:30,TX30,587.87,100,58867,80,0.14,0,223,0.38,-68,-0.12,-713,-0.71,2
22,Entry short,2025-02-24 07:00,C1|S|MKT|15,588.67,100,58867,80,0.14,0,223,0.38,-68,-0.12,-713,-0.71,2
23,Exit short,2025-02-25 07:30,TX30,580.91,100,58523,432,0.74,0,450,0.77,-3,-0.01,-281,-0.28,2
