Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2010-01-19 07:15,TX15,85.46,100,8524,22,0.26,0,22,0.26,-1,-0.01,22,0.02,1
1,Entry long,2010-01-19 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,85.24,100,8524,22,0.26,0,22,0.26,-1,-0.01,22,0.02,1
2,Exit short,2010-01-20 07:30,TX15,84.66,100,8485,19,0.22,0,19,0.22,-7,-0.08,41,0.04,1
2,Entry short,2010-01-20 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,84.85,100,8485,19,0.22,0,19,0.22,-7,-0.08,41,0.04,1
3,Exit short,2010-01-21 07:15,TX15,85,100,8497,-3,-0.04,0,15,0.18,-21,-0.25,38,0.04,1
3,Entry short,2010-01-21 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,84.97,100,8497,-3,-0.04,0,15,0.18,-21,-0.25,38,0.04,1
4,Exit short,2010-01-22 07:30,TX15,82.97,100,8268,-29,-0.35,0,17,0.21,-30,-0.36,9,0.01,1
4,Entry short,2010-01-22 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,82.68,100,8268,-29,-0.35,0,17,0.21,-30,-0.36,9,0.01,1
5,Exit short,2010-01-25 07:30,TX15,82.14,100,8185,-29,-0.35,0,0,0.00,-38,-0.46,-20,-0.02,1
5,Entry short,2010-01-25 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.85,100,8185,-29,-0.35,0,0,0.00,-38,-0.46,-20,-0.02,1
6,Exit long,2010-01-26 07:30,TX15,81.95,100,8204,-9,-0.11,0,10,0.12,-13,-0.16,-29,-0.03,1
6,Entry long,2010-01-26 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,82.04,100,8204,-9,-0.11,0,10,0.12,-13,-0.16,-29,-0.03,1
7,Exit short,2010-01-28 07:30,TX15,81.5,100,8149,-1,-0.01,0,13,0.16,-7,-0.09,-30,-0.03,1
7,Entry short,2010-01-28 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.49,100,8149,-1,-0.01,0,13,0.16,-7,-0.09,-30,-0.03,1
8,Exit long,2010-01-29 07:15,TX15,81.47,100,8159,-12,-0.15,0,2,0.02,-23,-0.28,-42,-0.04,1
8,Entry long,2010-01-29 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,81.59,100,8159,-12,-0.15,0,2,0.02,-23,-0.28,-42,-0.04,1
9,Exit long,2010-02-01 07:30,TX15,81.06,100,8100,6,0.07,0,19,0.23,-2,-0.02,-36,-0.04,1
9,Entry long,2010-02-01 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,81,100,8100,6,0.07,0,19,0.23,-2,-0.02,-36,-0.04,1
10,Exit long,2010-02-02 07:45,TX15,81.98,100,8188,10,0.12,0,21,0.26,0,0.00,-26,-0.03,1
