Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
94,Exit short,2026-05-22 07:45,TX30,744.45,100,74361,-84,-0.11,0,103,0.14,-98,-0.13,-204,-0.20,2
94,Entry short,2026-05-22 07:15,C0|S|MKT|15,743.61,100,74361,-84,-0.11,0,103,0.14,-98,-0.13,-204,-0.20,2
95,Exit long,2026-05-26 07:30,TX30,749.6,100,74886,74,0.10,0,107,0.14,-25,-0.03,-130,-0.13,2
95,Entry long,2026-05-26 07:00,C0|L|MKT|15,748.86,100,74886,74,0.10,0,107,0.14,-25,-0.03,-130,-0.13,2
96,Exit long,2026-05-28 07:45,TX30,750.54,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,-185,-0.18,2
96,Entry long,2026-05-28 07:15,C0|L|MKT|15,751.09,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,-185,-0.18,2
97,Exit long,2026-05-29 07:30,TX30,754.66,100,75588,-122,-0.16,0,25,0.03,-197,-0.26,-307,-0.31,2
97,Entry long,2026-05-29 07:00,C0|L|MKT|15,755.88,100,75588,-122,-0.16,0,25,0.03,-197,-0.26,-307,-0.31,2
98,Exit long,2026-06-02 07:45,TX30,756.94,100,75626,68,0.09,0,73,0.10,-67,-0.09,-239,-0.24,2
98,Entry long,2026-06-02 07:15,C0|L|MKT|15,756.26,100,75626,68,0.09,0,73,0.10,-67,-0.09,-239,-0.24,2
99,Exit short,2026-06-03 07:30,TX30,754.87,100,75396,-91,-0.12,0,7,0.01,-108,-0.14,-330,-0.33,2
99,Entry short,2026-06-03 07:00,C0|S|MKT|15,753.96,100,75396,-91,-0.12,0,7,0.01,-108,-0.14,-330,-0.33,2
100,Exit long,2026-06-04 08:00,TX30,752.27,100,75208,19,0.03,0,22,0.03,-63,-0.08,-311,-0.31,2
100,Entry long,2026-06-04 07:30,C0|L|MKT|15,752.08,100,75208,19,0.03,0,22,0.03,-63,-0.08,-311,-0.31,2
101,Exit short,2026-06-05 07:30,TX30,747.3,100,74682,-48,-0.06,0,51,0.07,-221,-0.30,-359,-0.36,2
101,Entry short,2026-06-05 07:00,C0|S|MKT|15,746.82,100,74682,-48,-0.06,0,51,0.07,-221,-0.30,-359,-0.36,2
102,Exit short,2026-06-08 07:30,TX30,740.6,100,73889,-171,-0.23,0,17,0.02,-221,-0.30,-530,-0.53,2
102,Entry short,2026-06-08 07:00,C0|S|MKT|15,738.89,100,73889,-171,-0.23,0,17,0.02,-221,-0.30,-530,-0.53,2
103,Exit short,2026-06-09 07:45,TX30,736.77,100,73963,286,0.39,0,310,0.42,-65,-0.09,-244,-0.24,2
103,Entry short,2026-06-09 07:15,C0|S|MKT|15,739.63,100,73963,286,0.39,0,310,0.42,-65,-0.09,-244,-0.24,2
104,Exit long,2026-06-10 07:45,TX30,733.65,100,73482,-117,-0.16,0,166,0.23,-117,-0.16,-361,-0.36,2
104,Entry long,2026-06-10 07:15,C0|L|MKT|15,734.82,100,73482,-117,-0.16,0,166,0.23,-117,-0.16,-361,-0.36,2
105,Exit long,2026-06-11 07:30,TX30,727.03,100,72790,-87,-0.12,0,179,0.25,-282,-0.39,-448,-0.45,2
105,Entry long,2026-06-11 07:00,C0|L|MKT|15,727.9,100,72790,-87,-0.12,0,179,0.25,-282,-0.39,-448,-0.45,2
106,Exit long,2026-06-15 08:00,TX30,752.26,100,75172,54,0.07,0,74,0.10,-69,-0.09,-394,-0.39,2
106,Entry long,2026-06-15 07:30,C0|L|MKT|15,751.72,100,75172,54,0.07,0,74,0.10,-69,-0.09,-394,-0.39,2
107,Exit short,2026-06-16 07:30,TX30,751.13,100,75216,103,0.14,0,104,0.14,-109,-0.14,-291,-0.29,2
107,Entry short,2026-06-16 07:00,C0|S|MKT|15,752.16,100,75216,103,0.14,0,104,0.14,-109,-0.14,-291,-0.29,2
108,Exit short,2026-06-17 07:30,TX30,749.77,100,74792,-185,-0.25,0,22,0.03,-229,-0.31,-476,-0.48,2
