Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-01-22 07:30,TX30,596.5,100,59630,20,0.03,0,53,0.09,-51,-0.09,20,0.02,2
1,Entry long,2025-01-22 07:00,C3|L|MKT|15,596.3,100,59630,20,0.03,0,53,0.09,-51,-0.09,20,0.02,2
2,Exit long,2025-01-31 07:30,TX30,598.7,100,59789,81,0.14,0,88,0.15,-8,-0.01,101,0.10,2
2,Entry long,2025-01-31 07:00,C3|L|MKT|15,597.89,100,59789,81,0.14,0,88,0.15,-8,-0.01,101,0.10,2
3,Exit short,2025-02-03 07:45,TX30,588.07,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-593,-0.59,2
3,Entry short,2025-02-03 07:15,C3|S|MKT|15,581.13,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-593,-0.59,2
4,Exit long,2025-02-13 07:45,TX30,597.02,100,59511,191,0.32,0,216,0.36,-1,0.00,-402,-0.40,2
4,Entry long,2025-02-13 07:15,C3|L|MKT|15,595.11,100,59511,191,0.32,0,216,0.36,-1,0.00,-402,-0.40,2
5,Exit long,2025-02-14 07:45,TX30,599.8,100,60039,-59,-0.10,0,11,0.02,-92,-0.15,-461,-0.46,2
5,Entry long,2025-02-14 07:15,C3|L|MKT|15,600.39,100,60039,-59,-0.10,0,11,0.02,-92,-0.15,-461,-0.46,2
6,Exit short,2025-02-24 07:30,TX30,587.87,100,58867,80,0.14,0,223,0.38,-68,-0.12,-381,-0.38,2
6,Entry short,2025-02-24 07:00,C3|S|MKT|15,588.67,100,58867,80,0.14,0,223,0.38,-68,-0.12,-381,-0.38,2
7,Exit short,2025-02-25 07:30,TX30,580.91,100,58523,432,0.74,0,450,0.77,-3,-0.01,51,0.05,2
7,Entry short,2025-02-25 07:00,C3|S|MKT|15,585.23,100,58523,432,0.74,0,450,0.77,-3,-0.01,51,0.05,2
8,Exit short,2025-02-27 07:30,TX30,585.44,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-248,-0.25,2
8,Entry short,2025-02-27 07:00,C3|S|MKT|15,582.45,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-248,-0.25,2
9,Exit short,2025-03-04 07:30,TX30,564.86,100,56600,114,0.20,0,339,0.60,-47,-0.08,-134,-0.13,2
9,Entry short,2025-03-04 07:00,C3|S|MKT|15,566,100,56600,114,0.20,0,339,0.60,-47,-0.08,-134,-0.13,2
10,Exit short,2025-03-11 07:45,TX30,545.91,100,54860,269,0.49,0,388,0.71,-85,-0.15,135,0.14,2
10,Entry short,2025-03-11 07:15,C3|S|MKT|15,548.6,100,54860,269,0.49,0,388,0.71,-85,-0.15,135,0.14,2
11,Exit long,2025-03-17 07:45,TX30,555.99,100,55668,-69,-0.12,0,8,0.01,-223,-0.40,66,0.07,2
11,Entry long,2025-03-17 07:15,C3|L|MKT|15,556.68,100,55668,-69,-0.12,0,8,0.01,-223,-0.40,66,0.07,2
12,Exit long,2025-03-20 07:30,TX30,559.94,100,55712,282,0.51,0,334,0.60,-20,-0.04,348,0.35,2
12,Entry long,2025-03-20 07:00,C3|L|MKT|15,557.12,100,55712,282,0.51,0,334,0.60,-20,-0.04,348,0.35,2
13,Exit long,2025-03-24 07:30,TX30,565.18,100,56481,37,0.07,0,57,0.10,-74,-0.13,385,0.39,2
13,Entry long,2025-03-24 07:00,C3|L|MKT|15,564.81,100,56481,37,0.07,0,57,0.10,-74,-0.13,385,0.39,2
14,Exit long,2025-03-25 08:00,TX30,567.97,100,56783,14,0.02,0,59,0.10,-44,-0.08,399,0.40,2
14,Entry long,2025-03-25 07:30,C3|L|MKT|15,567.83,100,56783,14,0.02,0,59,0.10,-44,-0.08,399,0.40,2
15,Exit short,2025-04-04 07:45,TX30,507.49,100,51116,367,0.72,0,389,0.76,-108,-0.21,766,0.77,2
15,Entry short,2025-04-04 07:15,C3|S|MKT|15,511.16,100,51116,367,0.72,0,389,0.76,-108,-0.21,766,0.77,2
16,Exit long,2025-04-11 07:30,TX30,513.56,100,51920,-564,-1.09,0,189,0.36,-635,-1.22,202,0.20,2
16,Entry long,2025-04-11 07:00,C3|L|MKT|15,519.2,100,51920,-564,-1.09,0,189,0.36,-635,-1.22,202,0.20,2
17,Exit short,2025-04-16 07:30,TX30,524.4,100,52254,-186,-0.36,0,22,0.04,-229,-0.44,16,0.02,2
17,Entry short,2025-04-16 07:00,C3|S|MKT|15,522.54,100,52254,-186,-0.36,0,22,0.04,-229,-0.44,16,0.02,2
18,Exit long,2025-05-13 07:30,TX30,578.69,100,57717,152,0.26,0,257,0.45,-7,-0.01,168,0.17,2
18,Entry long,2025-05-13 07:00,C3|L|MKT|15,577.17,100,57717,152,0.26,0,257,0.45,-7,-0.01,168,0.17,2
19,Exit long,2025-05-19 07:30,TX30,584.04,100,58303,101,0.17,0,203,0.35,-18,-0.03,269,0.27,2
19,Entry long,2025-05-19 07:00,C3|L|MKT|15,583.03,100,58303,101,0.17,0,203,0.35,-18,-0.03,269,0.27,2
20,Exit short,2025-05-30 07:30,TX30,581.41,100,57890,-251,-0.43,0,3,0.01,-262,-0.45,18,0.02,2
