time,open,high,low,close,EMA 9,EMA 21,EMA 50,Selected long,Selected short,V4 long candidate,V4 short candidate,V2 candidate rejected by V3,CB bounded net,CB confidence,CB available votes,CB ATR %,CB structure pass,CB V2 candidate,CB stop-distance pass,CB extension pass,CB direct-risk pass,CB kill switch,CB V4 candidate,CB V4 blocked open position
1386858600,143.94909673,144.12637395,143.23998788,143.53813592,144.79027476058928,144.43958497721303,142.28655582732014,0,0,0,0,0,-3,0.375,8,0.7564594239060959,0,0,0,1,0,0,0,0
1386945000,143.83628396,143.96521284,143.24804594,143.52201981,144.53662377047144,144.35616996201185,142.33500539526838,0,0,0,0,0,0,0,8,0.7381977119257084,1,0,0,1,0,0,0,0
1387204200,144.19889644,144.89188918,144.15860617,144.41324071,144.51194715837715,144.36135821182896,142.41650481937552,0,0,0,0,0,4,0.5,8,0.7489944807029721,1,0,0,1,0,0,0,0
1387290600,144.5292767,144.56956698,143.63483258,143.95715479,144.40098868470173,144.32461244620814,142.47692246528237,0,0,0,0,0,0,0,8,0.7440779392245689,1,0,0,1,0,0,0,0
1387377000,144.17472228,146.43903577,142.88543346,146.4148616,144.80376326776138,144.51463509655284,142.63135145095757,0,0,0,0,0,3,0.375,8,0.8526943195352717,1,0,0,0,0,0,0,0
1387463400,146.00390079,146.4148616,145.61711415,146.24564244,145.0921391022091,144.67199940050259,142.77308835248866,0,0,0,0,0,-1,0.125,8,0.8316669361192953,1,0,0,1,0,0,0,0
1387549800,146.37547342,147.44491287,146.29307797,147.09653487,145.49301825576728,144.89241171591144,142.942635274744,0,0,0,0,0,4,0.5,8,0.8260302831056391,1,0,0,0,0,0,0,0
1387809000,147.78518906,147.97153078,147.50567647,147.88241082,145.9708967686138,145.16422981628313,143.13635196279324,0,0,0,0,0,4,0.5,8,0.8052150944065001,1,0,0,0,0,0,0,0
1387895400,147.89051264,148.2712979,147.88241082,148.20648338,146.41801409089106,145.44079832207558,143.33518064582097,0,0,0,0,0,2,0.25,8,0.7648073214538507,1,0,0,0,0,0,0,0
1388068200,148.53865776,149.04097023,148.52245413,148.95590118,146.92559150871284,145.76035312734143,143.55560105892604,0,0,0,0,0,5,0.625,8,0.7466212287151519,1,0,0,0,0,0,0,0
1388154600,149.15439562,149.21921013,148.79791581,148.94779936,147.33003307897027,146.05012096667403,143.76705981583092,0,0,0,0,0,2,0.25,8,0.7135322057781527,1,0,0,0,0,0,0,0
1388413800,148.9680539,149.08958111,148.73310129,148.92754483,147.6495354291762,146.3117049542491,143.96943177717088,0,0,0,0,0,3,0.375,8,0.6797532016173492,1,0,0,0,0,0,0,0
1388500200,149.13009018,149.63240265,149.01666478,149.63240265,148.04610887334096,146.61358656295374,144.19150906630145,0,0,0,0,0,2,0.25,8,0.6618731913954055,1,0,0,0,0,0,0,0
1388673000,149.05717385,149.13009018,147.84190175,148.19838157,148.07656341267275,146.75765883632158,144.34864132134845,0,0,0,0,0,0,0,8,0.7068420532373766,1,0,0,1,0,0,0,0
1388759400,148.43333418,148.74930492,147.96342896,148.17002522,148.0952557741382,146.88605578029234,144.49849951345243,0,0,0,0,0,1,0.125,8,0.6943637997542226,1,0,0,1,0,0,0,0
1389018600,148.64398134,148.71689767,147.51782919,147.74467999,148.02514061731057,146.9641125266294,144.62580070861117,0,0,0,0,0,2,0.25,8,0.7045927234920897,1,0,0,1,0,0,0,0
1389105000,148.33611241,148.90323939,148.22268701,148.65208315,148.15052912384846,147.11756440148127,144.78369413768525,0,0,0,0,0,6,0.75,8,0.7059406543651144,1,0,0,1,0,0,0,0
1389191400,148.62777771,148.93564664,148.17407613,148.68449041,148.25732138107875,147.26001222043752,144.93666654052112,0,0,0,0,0,0,0,8,0.6919595706603674,1,0,0,1,0,0,0,0
1389277800,149.15439562,149.17870106,148.0971089,148.78171218,148.362199540863,147.39834858039774,145.0874526440301,0,0,0,0,0,2,0.25,8,0.6940401500874597,1,0,0,1,0,0,0,0
1389364200,149.03286841,149.25161739,148.2712979,149.18680288,148.5271202086904,147.56093533490704,145.24821147681322,0,0,0,0,0,4,0.5,8,0.689652256320367,1,0,0,0,0,0,0,0
1389623400,148.83842488,149.21921013,146.91829496,147.19780754,148.26125767495233,147.52792371718823,145.32466622438918,0,0,0,0,0,0,0,8,0.7606978183452651,0,0,0,1,0,0,0,0
1389709800,147.67986547,148.88703576,147.41250561,148.80601762,148.37020966396187,147.6441140719893,145.46118980853078,0,0,0,0,0,1,0.125,8,0.7798131668208375,1,0,0,1,0,0,0,0
1389796200,149.15439562,149.834948,148.83858691,149.6080972,148.6177871711695,147.82265799271755,145.62381362780408,0,0,0,0,0,5,0.625,8,0.769355145738368,1,0,0,0,0,0,0,0
1389882600,149.30022827,149.60955553,148.93564664,149.41365367,148.77696047093562,147.9672939633796,145.7724348059294,0,0,0,0,0,2,0.25,8,0.7475477465772249,1,0,0,1,0,0,0,0
1389969000,149.15439562,149.43795911,148.52245413,148.77766127,148.7771006307485,148.0409637185269,145.89028682412825,0,0,0,0,0,-1,0.125,8,0.7410724769907139,1,0,0,1,0,0,0,0
1390314600,149.64050446,149.69721716,148.30370515,149.21921013,148.86552253059878,148.14807702866082,146.02083283612322,0,0,0,0,0,2,0.25,8,0.7528074152914579,1,0,0,1,0,0,0,0
1390401000,149.47036637,149.53518088,149.00046116,149.3164319,148.95570440447904,148.25429110787348,146.15007201509877,0,0,0,0,0,1,0.125,8,0.7241597187284611,1,0,0,1,0,0,0,0
