Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2001-04-10,STOP,74.45,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
1,Entry short,2001-04-03,V2 SHORT,72.36,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
2,Exit long,2002-01-09,STOP,74.15,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
2,Entry long,2002-01-04,V2 LONG,75.14,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
3,Exit long,2003-04-16,STOP,57.61,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
3,Entry long,2003-04-16,V2 LONG,58.81,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
4,Exit long,2004-01-02,TARGET,73.98,1,72.36,1.62,2.24,0,1.62,2.24,-0.47,-0.65,-2.66,0.00,8
4,Entry long,2003-12-19,V2 LONG,72.36,1,72.36,1.62,2.24,0,1.62,2.24,-0.47,-0.65,-2.66,0.00,8
5,Exit long,2004-01-13,STOP,74.31,1,74.98,-0.67,-0.89,0,0.17,0.23,-0.67,-0.89,-3.33,0.00,3
5,Entry long,2004-01-08,V2 LONG,74.98,1,74.98,-0.67,-0.89,0,0.17,0.23,-0.67,-0.89,-3.33,0.00,3
6,Exit long,2004-09-22,STOP,74.84,1,75.55,-0.71,-0.94,0,0.43,0.57,-0.71,-0.94,-4.04,0.00,6
6,Entry long,2004-09-14,V2 LONG,75.55,1,75.55,-0.71,-0.94,0,0.43,0.57,-0.71,-0.94,-4.04,0.00,6
7,Exit long,2004-10-19,STOP,74.28,1,75.01,-0.73,-0.97,0,0.14,0.19,-0.73,-0.97,-4.77,0.00,0
7,Entry long,2004-10-19,V2 LONG,75.01,1,75.01,-0.73,-0.97,0,0.14,0.19,-0.73,-0.97,-4.77,0.00,0
8,Exit long,2004-12-01,TARGET,80.06,1,78.38,1.68,2.14,0,1.68,2.14,-0.38,-0.48,-3.09,0.00,17
8,Entry long,2004-11-05,V2 LONG,78.38,1,78.38,1.68,2.14,0,1.68,2.14,-0.38,-0.48,-3.09,0.00,17
9,Exit long,2005-01-04,STOP,80.5,1,81.23,-0.73,-0.90,0,0.93,1.14,-0.73,-0.90,-3.82,0.00,8
9,Entry long,2004-12-22,V2 LONG,81.23,1,81.23,-0.73,-0.90,0,0.93,1.14,-0.73,-0.90,-3.82,0.00,8
10,Exit long,2005-02-22,STOP,80.75,1,81.44,-0.69,-0.85,0,0.52,0.64,-0.69,-0.85,-4.51,0.00,5
10,Entry long,2005-02-14,V2 LONG,81.44,1,81.44,-0.69,-0.85,0,0.52,0.64,-0.69,-0.85,-4.51,0.00,5
11,Exit long,2005-04-13,STOP,79.51,1,80.31,-0.8,-1.00,0,0.17,0.21,-0.8,-1.00,-5.31,-0.01,0
11,Entry long,2005-04-13,V2 LONG,80.31,1,80.31,-0.8,-1.00,0,0.17,0.21,-0.8,-1.00,-5.31,-0.01,0
12,Exit long,2005-04-20,STOP,77.3,1,78.17,-0.87,-1.11,0,0.16,0.20,-0.87,-1.11,-6.18,-0.01,0
12,Entry long,2005-04-20,V2 LONG,78.17,1,78.17,-0.87,-1.11,0,0.16,0.20,-0.87,-1.11,-6.18,-0.01,0
13,Exit long,2005-08-05,STOP,83.92,1,84.62,-0.7,-0.83,0,0.22,0.26,-0.7,-0.83,-6.88,-0.01,5
13,Entry long,2005-07-29,V2 LONG,84.62,1,84.62,-0.7,-0.83,0,0.22,0.26,-0.7,-0.83,-6.88,-0.01,5
14,Exit long,2005-08-16,STOP,83.32,1,84.04,-0.72,-0.86,0,0.21,0.25,-0.72,-0.86,-7.6,-0.01,2
14,Entry long,2005-08-12,V2 LONG,84.04,1,84.04,-0.72,-0.86,0,0.21,0.25,-0.72,-0.86,-7.6,-0.01,2
15,Exit long,2006-01-11,TARGET,88.87,1,87.32,1.55,1.78,0,1.55,1.78,-0.2,-0.23,-6.05,-0.01,4
15,Entry long,2006-01-05,V2 LONG,87.32,1,87.32,1.55,1.78,0,1.55,1.78,-0.2,-0.23,-6.05,-0.01,4
16,Exit long,2006-04-11,STOP,88.51,1,89.37,-0.86,-0.96,0,1.21,1.35,-0.86,-0.96,-6.91,-0.01,19
16,Entry long,2006-03-15,V2 LONG,89.37,1,89.37,-0.86,-0.96,0,1.21,1.35,-0.86,-0.96,-6.91,-0.01,19
17,Exit long,2006-05-12,STOP,89.27,1,90.12,-0.85,-0.94,0,1.43,1.59,-0.85,-0.94,-7.76,-0.01,17
17,Entry long,2006-04-19,V2 LONG,90.12,1,90.12,-0.85,-0.94,0,1.43,1.59,-0.85,-0.94,-7.76,-0.01,17
18,Exit long,2006-05-30,STOP,87.22,1,88.22,-1,-1.13,0,0.02,0.02,-1,-1.13,-8.76,-0.01,0
18,Entry long,2006-05-30,V2 LONG,88.22,1,88.22,-1,-1.13,0,0.02,0.02,-1,-1.13,-8.76,-0.01,0
19,Exit long,2006-07-14,STOP,85.46,1,86.69,-1.23,-1.42,0,1.95,2.25,-1.23,-1.42,-9.99,-0.01,19
19,Entry long,2006-06-16,V2 LONG,86.69,1,86.69,-1.23,-1.42,0,1.95,2.25,-1.23,-1.42,-9.99,-0.01,19
20,Exit long,2006-09-15,TARGET,92.02,1,89.72,2.3,2.56,0,2.3,2.56,-0.27,-0.30,-7.69,-0.01,20
20,Entry long,2006-08-17,V2 LONG,89.72,1,89.72,2.3,2.56,0,2.3,2.56,-0.27,-0.30,-7.69,-0.01,20
21,Exit long,2006-10-27,STOP,95.76,1,96.43,-0.67,-0.69,0,0.24,0.25,-0.67,-0.69,-8.36,-0.01,1
21,Entry long,2006-10-26,V2 LONG,96.43,1,96.43,-0.67,-0.69,0,0.24,0.25,-0.67,-0.69,-8.36,-0.01,1
22,Exit long,2006-12-01,STOP,96.91,1,97.67,-0.76,-0.78,0,0.43,0.44,-0.76,-0.78,-9.12,-0.01,1
22,Entry long,2006-11-30,V2 LONG,97.67,1,97.67,-0.76,-0.78,0,0.43,0.44,-0.76,-0.78,-9.12,-0.01,1
23,Exit long,2007-01-25,STOP,99.84,1,100.59,-0.75,-0.75,0,0.06,0.06,-0.75,-0.75,-9.87,-0.01,0
23,Entry long,2007-01-25,V2 LONG,100.59,1,100.59,-0.75,-0.75,0,0.06,0.06,-0.75,-0.75,-9.87,-0.01,0
24,Exit long,2007-02-20,STOP,101.1,1,101.87,-0.77,-0.76,0,0.37,0.36,-0.77,-0.76,-10.64,-0.01,2
24,Entry long,2007-02-15,V2 LONG,101.87,1,101.87,-0.77,-0.76,0,0.37,0.36,-0.77,-0.76,-10.64,-0.01,2
25,Exit long,2007-03-13,STOP,97.61,1,98.82,-1.21,-1.22,0,0.08,0.08,-1.21,-1.22,-11.85,-0.01,2
25,Entry long,2007-03-09,V2 LONG,98.82,1,98.82,-1.21,-1.22,0,0.08,0.08,-1.21,-1.22,-11.85,-0.01,2
26,Exit long,2007-03-28,STOP,99.48,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-13.11,-0.01,4
26,Entry long,2007-03-22,V2 LONG,100.74,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-13.11,-0.01,4
27,Exit long,2007-04-26,TARGET,105.14,1,103.19,1.95,1.89,0,1.95,1.89,-0.43,-0.42,-11.16,-0.01,7
27,Entry long,2007-04-17,V2 LONG,103.19,1,103.19,1.95,1.89,0,1.95,1.89,-0.43,-0.42,-11.16,-0.01,7
28,Exit long,2007-07-17,TARGET,109.81,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-8.66,-0.01,9
28,Entry long,2007-07-03,V2 LONG,107.31,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-8.66,-0.01,9
29,Exit long,2007-09-07,STOP,102.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-10.66,-0.01,2
29,Entry long,2007-09-05,V2 LONG,104.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-10.66,-0.01,2
30,Exit long,2007-10-11,TARGET,111.42,1,108.29,3.13,2.89,0,3.13,2.89,-0.61,-0.56,-7.53,-0.01,9
30,Entry long,2007-09-28,V2 LONG,108.29,1,108.29,3.13,2.89,0,3.13,2.89,-0.61,-0.56,-7.53,-0.01,9
