Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2001-04-10,STOP,74.45,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
1,Entry short,2001-04-03,V6 SHORT,72.36,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
2,Exit long,2002-01-09,STOP,74.15,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
2,Entry long,2002-01-04,V6 LONG,75.14,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
3,Exit long,2003-04-16,STOP,57.61,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
3,Entry long,2003-04-16,V6 LONG,58.81,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
4,Exit long,2006-07-12,STOP,87.14,1,88.26,-1.12,-1.27,0,0.38,0.43,-1.12,-1.27,-5.4,-0.01,7
4,Entry long,2006-06-30,V6 LONG,88.26,1,88.26,-1.12,-1.27,0,0.38,0.43,-1.12,-1.27,-5.4,-0.01,7
5,Exit long,2007-03-28,STOP,99.48,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-6.66,-0.01,4
5,Entry long,2007-03-22,V6 LONG,100.74,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-6.66,-0.01,4
6,Exit long,2007-07-17,TARGET,109.81,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-4.16,0.00,9
6,Entry long,2007-07-03,V6 LONG,107.31,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-4.16,0.00,9
7,Exit long,2007-09-07,STOP,102.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-6.16,-0.01,2
7,Entry long,2007-09-05,V6 LONG,104.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-6.16,-0.01,2
8,Exit long,2007-12-11,STOP,105.37,1,107.28,-1.91,-1.78,0,1.04,0.97,-1.91,-1.78,-8.07,-0.01,2
8,Entry long,2007-12-07,V6 LONG,107.28,1,107.28,-1.91,-1.78,0,1.04,0.97,-1.91,-1.78,-8.07,-0.01,2
9,Exit short,2008-02-12,STOP,96.24,1,93.88,-2.36,-2.51,0,0.05,0.05,-2.36,-2.51,-10.43,-0.01,3
9,Entry short,2008-02-07,V6 SHORT,93.88,1,93.88,-2.36,-2.51,0,0.05,0.05,-2.36,-2.51,-10.43,-0.01,3
10,Exit short,2009-10-30,TARGET,76.98,1,79.45,2.47,3.11,0,2.47,3.11,-0.27,-0.34,-7.96,-0.01,3
10,Entry short,2009-10-27,V6 SHORT,79.45,1,79.45,2.47,3.11,0,2.47,3.11,-0.27,-0.34,-7.96,-0.01,3
11,Exit long,2009-12-01,TARGET,82.78,1,80.47,2.31,2.87,0,2.31,2.87,-0.21,-0.26,-5.65,-0.01,2
11,Entry long,2009-11-27,V6 LONG,80.47,1,80.47,2.31,2.87,0,2.31,2.87,-0.21,-0.26,-5.65,-0.01,2
12,Exit long,2010-01-08,TARGET,85.54,1,82.74,2.8,3.38,0,2.8,3.38,-1.18,-1.43,-2.85,0.00,16
12,Entry long,2009-12-15,V6 LONG,82.74,1,82.74,2.8,3.38,0,2.8,3.38,-1.18,-1.43,-2.85,0.00,16
13,Exit long,2010-03-11,TARGET,86.12,1,83.86,2.26,2.69,0,2.26,2.69,-0.27,-0.32,-0.59,0.00,7
13,Entry long,2010-03-02,V6 LONG,83.86,1,83.86,2.26,2.69,0,2.26,2.69,-0.27,-0.32,-0.59,0.00,7
14,Exit long,2010-04-30,STOP,89.51,1,90.58,-1.07,-1.18,0,0.1,0.11,-1.07,-1.18,-1.66,0.00,0
14,Entry long,2010-04-30,V6 LONG,90.58,1,90.58,-1.07,-1.18,0,0.1,0.11,-1.07,-1.18,-1.66,0.00,0
15,Exit long,2010-07-21,STOP,80.51,1,82.1,-1.59,-1.94,0,0.02,0.02,-1.59,-1.94,-3.25,0.00,0
15,Entry long,2010-07-21,V6 LONG,82.1,1,82.1,-1.59,-1.94,0,0.02,0.02,-1.59,-1.94,-3.25,0.00,0
16,Exit long,2010-09-20,TARGET,85.85,1,83.1,2.75,3.31,0,2.75,3.31,-0.62,-0.75,-0.5,0.00,9
16,Entry long,2010-09-07,V6 LONG,83.1,1,83.1,2.75,3.31,0,2.75,3.31,-0.62,-0.75,-0.5,0.00,9
17,Exit long,2010-10-27,STOP,89.06,1,90.19,-1.13,-1.25,0,0.46,0.51,-1.13,-1.25,-1.63,0.00,2
17,Entry long,2010-10-25,V6 LONG,90.19,1,90.19,-1.13,-1.25,0,0.46,0.51,-1.13,-1.25,-1.63,0.00,2
18,Exit long,2010-11-23,STOP,89.61,1,90.76,-1.15,-1.27,0,0.33,0.36,-1.15,-1.27,-2.78,0.00,2
18,Entry long,2010-11-19,V6 LONG,90.76,1,90.76,-1.15,-1.27,0,0.33,0.36,-1.15,-1.27,-2.78,0.00,2
19,Exit long,2011-03-01,STOP,100.06,1,101.07,-1.01,-1.00,0,0.66,0.65,-1.01,-1.00,-3.79,0.00,1
19,Entry long,2011-02-28,V6 LONG,101.07,1,101.07,-1.01,-1.00,0,0.66,0.65,-1.01,-1.00,-3.79,0.00,1
20,Exit long,2011-04-20,TARGET,101.9,1,99.8,2.1,2.10,0,2.1,2.10,-0.82,-0.82,-1.69,0.00,2
20,Entry long,2011-04-18,V6 LONG,99.8,1,99.8,2.1,2.10,0,2.1,2.10,-0.82,-0.82,-1.69,0.00,2
21,Exit long,2011-04-29,TARGET,104.33,1,102.17,2.16,2.11,0,2.16,2.11,-0.37,-0.36,0.47,0.00,4
21,Entry long,2011-04-25,V6 LONG,102.17,1,102.17,2.16,2.11,0,2.16,2.11,-0.37,-0.36,0.47,0.00,4
22,Exit long,2011-05-23,STOP,100.87,1,103.02,-2.15,-2.09,0,0.18,0.17,-2.15,-2.09,-1.68,0.00,2
22,Entry long,2011-05-19,V6 LONG,103.02,1,103.02,-2.15,-2.09,0,0.18,0.17,-2.15,-2.09,-1.68,0.00,2
23,Exit short,2011-09-13,STOP,90.47,1,87.92,-2.55,-2.90,0,0.32,0.36,-2.55,-2.90,-4.23,0.00,1
23,Entry short,2011-09-12,V6 SHORT,87.92,1,87.92,-2.55,-2.90,0,0.32,0.36,-2.55,-2.90,-4.23,0.00,1
24,Exit long,2011-11-17,STOP,94.43,1,96.68,-2.25,-2.33,0,2.15,2.22,-2.25,-2.33,-6.48,-0.01,9
24,Entry long,2011-11-04,V6 LONG,96.68,1,96.68,-2.25,-2.33,0,2.15,2.22,-2.25,-2.33,-6.48,-0.01,9
25,Exit long,2012-04-16,STOP,106.88,1,108.05,-1.17,-1.08,0,0.27,0.25,-1.17,-1.08,-7.65,-0.01,1
25,Entry long,2012-04-13,V6 LONG,108.05,1,108.05,-1.17,-1.08,0,0.27,0.25,-1.17,-1.08,-7.65,-0.01,1
26,Exit long,2012-05-04,STOP,107.18,1,108.38,-1.2,-1.11,0,2.16,1.99,-1.2,-1.11,-8.85,-0.01,6
