Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,1993-03-05,STOP,24.59,1,24.8,-0.21,-0.85,0,0,0.00,-0.21,-0.85,-0.21,0.00,1
1,Entry long,1993-03-04,V0 LONG,24.8,1,24.8,-0.21,-0.85,0,0,0.00,-0.21,-0.85,-0.21,0.00,1
2,Exit long,1993-04-20,STOP,24.53,1,24.75,-0.22,-0.89,0,0.15,0.61,-0.22,-0.89,-0.43,0.00,5
2,Entry long,1993-04-13,V0 LONG,24.75,1,24.75,-0.22,-0.89,0,0.15,0.61,-0.22,-0.89,-0.43,0.00,5
3,Exit long,1993-06-23,STOP,24.7,1,24.9,-0.2,-0.80,0,0.02,0.08,-0.2,-0.80,-0.63,0.00,7
3,Entry long,1993-06-14,V0 LONG,24.9,1,24.9,-0.2,-0.80,0,0.02,0.08,-0.2,-0.80,-0.63,0.00,7
4,Exit long,1993-07-01,STOP,24.94,1,25.12,-0.18,-0.72,0,0,0.00,-0.18,-0.72,-0.81,0.00,2
4,Entry long,1993-06-29,V0 LONG,25.12,1,25.12,-0.18,-0.72,0,0,0.00,-0.18,-0.72,-0.81,0.00,2
5,Exit long,1993-09-14,STOP,25.69,1,25.86,-0.17,-0.66,0,0,0.00,-0.17,-0.66,-0.98,0.00,1
5,Entry long,1993-09-13,V0 LONG,25.86,1,25.86,-0.17,-0.66,0,0,0.00,-0.17,-0.66,-0.98,0.00,1
6,Exit long,1993-10-14,TARGET,26.01,1,25.62,0.39,1.52,0,0.39,1.52,-0.07,-0.27,-0.59,0.00,14
6,Entry long,1993-09-24,V0 LONG,25.62,1,25.62,0.39,1.52,0,0.39,1.52,-0.07,-0.27,-0.59,0.00,14
7,Exit long,1993-12-10,STOP,26.03,1,26.2,-0.17,-0.65,0,0.02,0.08,-0.17,-0.65,-0.76,0.00,3
7,Entry long,1993-12-07,V0 LONG,26.2,1,26.2,-0.17,-0.65,0,0.02,0.08,-0.17,-0.65,-0.76,0.00,3
8,Exit long,1994-06-24,STOP,25.5,1,25.82,-0.32,-1.24,0,0.52,2.01,-0.32,-1.24,-1.08,0.00,24
8,Entry long,1994-05-20,V0 LONG,25.82,1,25.82,-0.32,-1.24,0,0.52,2.01,-0.32,-1.24,-1.08,0.00,24
9,Exit long,1995-07-06,TARGET,32.34,1,31.78,0.56,1.76,0,0.56,1.76,-0.21,-0.66,-0.52,0.00,11
9,Entry long,1995-06-20,V0 LONG,31.78,1,31.78,0.56,1.76,0,0.56,1.76,-0.21,-0.66,-0.52,0.00,11
10,Exit long,1995-09-11,TARGET,33.66,1,33.18,0.48,1.45,0,0.48,1.45,-0.05,-0.15,-0.04,0.00,4
10,Entry long,1995-09-05,V0 LONG,33.18,1,33.18,0.48,1.45,0,0.48,1.45,-0.05,-0.15,-0.04,0.00,4
11,Exit long,1995-11-13,TARGET,35.02,1,34.45,0.57,1.65,0,0.57,1.65,-0.04,-0.12,0.53,0.00,7
11,Entry long,1995-11-02,V0 LONG,34.45,1,34.45,0.57,1.65,0,0.57,1.65,-0.04,-0.12,0.53,0.00,7
12,Exit long,1995-11-28,TARGET,35.8,1,35.28,0.52,1.47,0,0.52,1.47,-0.14,-0.40,1.05,0.00,6
12,Entry long,1995-11-17,V0 LONG,35.28,1,35.28,0.52,1.47,0,0.52,1.47,-0.14,-0.40,1.05,0.00,6
13,Exit long,1996-01-03,TARGET,36.91,1,36.29,0.62,1.71,0,0.62,1.71,-0.12,-0.33,1.67,0.00,5
13,Entry long,1995-12-26,V0 LONG,36.29,1,36.29,0.62,1.71,0,0.62,1.71,-0.12,-0.33,1.67,0.00,5
14,Exit long,1996-07-05,STOP,39.43,1,40.12,-0.69,-1.72,0,0.25,0.62,-0.69,-1.72,0.98,0.00,3
14,Entry long,1996-07-01,V0 LONG,40.12,1,40.12,-0.69,-1.72,0,0.25,0.62,-0.69,-1.72,0.98,0.00,3
15,Exit long,1996-11-25,TARGET,45.26,1,44.43,0.83,1.87,0,0.83,1.87,-0.24,-0.54,1.81,0.00,6
15,Entry long,1996-11-15,V0 LONG,44.43,1,44.43,0.83,1.87,0,0.83,1.87,-0.24,-0.54,1.81,0.00,6
16,Exit long,1999-04-19,STOP,80.68,1,82.14,-1.46,-1.78,0,2.66,3.24,-1.46,-1.78,0.35,0.00,9
